report_namePKO;paragraphNumber;paragraph_ID;comments;DisarmamentDemobilization;Reintegration; ControlSALW ;Demilitarization ;ArmsEmbargo ;CivilianProtection ;HumanRights;ChildRights ;SexualViolence ;PoliceReform ;MilitaryReform ;Operations_PatrolsInterventions;Operations_UseOfForce;JusticeSectorReform ;TransitionalJustice ;PrisonReform ;BorderControl;Demining ;Resources ; StateAuthority ;StateAdministration ;DemocraticInstitutions ;ElectoralSecurity ;ElectionAssistance ;VoterEducation;PartyAssistance ;CivilSocietyAssistance ;Media ; PowerSharing ; National_Reconciliation ;LocalReconciliation ; EconomicDevelopment ; HumanitarianRelief;PublicHealth ; RefugeeAssistance ;Gender;LegalReform
UNMIK_S/2004/613;31;5813;;;;;;;;;;;;;;;;;;;;;;Assist,InternationalActor;;;;;;;;;;;;;;;;
UNMIK_S/2003/996;9;5812;;;;;;;;;;;;;;;;;;;;;;Monitor;;;;;;;;;;;;;;;;
UNMIK_S/2001/926;18;5811;;;;;;;;;;;;;;;;;;;;;;MaterialSupport,Implement,InternationalActor;;;;;;;;;;;;;;;;
UNMIK_S/1999/987;22;5810;;;;;;;;;;;;;;;;;;;;;;MaterialSupport,Implement,ProvideSecurity,InternationalActor;;;;;;;;;;;;;;;;
UNMIK_S/1999/779;13;5809;;;;;;;;;;;;;;;;;;;;;;Monitor,InternationalActor;;;;;;;;;;;;;;;;
UNMIK_S/1999/779;12;5808;;;;;;;;;;;;;;;;;;;;;;Monitor,InternationalActor;;;;;;;;;;;;;;;;
UNMOP_S/2000/1251;8;5806;;;;;;;;;;;;;Monitor;;;;;;;;;;;;;;;;;;;;;;;;;
UNMIH_S/1995/922;7;5805;As August normally marks the beginning of the hurricane season in Haiti, UNIH's military component took steps to protect the Mission and United Nations agencies from the dangers posed by storms and also assisted the Haitian authorities in planning for potential natural disasters. At the Government's initiative, planning committees were formed at the national and local levels. With UNMIH's assistance, medical training was provided to over 200 Haitian personnel to respond to disaster situations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Assist;;;;
UNMOP_S/2002/1341;3;5804;;;;;;;;;;;;;Monitor;;;;;;;;;;;;;;;;;;;;;;;;;
UNMOP_S/2002/1101;5;5803;;;;;;;;;;;;;Monitor;;;;;;;;;;;;;;;;;;;;;;;;;
UNMOP_S/2002/713;5;5802;;;;;;;;;;;;;Monitor;;;;;;;;;;;;;;;;;;;;;;;;;
UNMOP_S/2002/1;6;5801;;;;;;;;;;;;;Monitor;;;;;;;;;;;;;;;;;;;;;;;;;
UNMOP_S/2001/661;10;5800;;;;;;;;;;;;;Monitor;;;;;;;;;;;;;;;;;;;;;;;;;
